date,open,high,low,close,volume
2020-09-25,11005.0,11320.0,11005.0,11204.5,278.93435758
2020-09-26,11210.0,11312.5,11127.0,11170.0,84.64403914
2020-09-27,11160.0,11502.5,11077.5,11420.0,177.93923921
2020-09-28,11410.0,11450.0,11117.0,11231.5,237.48228957
2020-09-29,11222.0,11374.0,11120.5,11199.0,61.53777774
2020-09-30,11199.0,11362.5,11160.5,11340.0,91.41873595
2020-10-01,11335.5,11499.0,10857.0,10930.0,305.76938004
2020-10-02,10920.0,11070.0,10840.0,10994.0,384.09779087
2020-10-03,10980.0,11119.5,10974.5,11095.0,221.68671456
2020-10-04,11090.0,11302.5,11074.0,11230.0,231.84624408
2020-10-05,11228.0,11344.0,11188.5,11240.0,92.10300172
2020-10-06,11236.0,11299.0,11050.5,11120.0,89.75377729
2020-10-07,11111.5,11183.5,11060.5,11084.0,49.74122764
2020-10-08,11084.5,11520.0,11030.0,11454.5,135.0476266
2020-10-09,11454.0,12140.0,11443.0,12049.0,417.44895914
2020-10-10,12031.5,12062.5,11897.0,11984.5,211.39059724
2020-10-11,11995.0,12107.0,11900.5,12010.0,263.21368796
2020-10-12,12020.0,12458.5,11793.5,12163.0,357.3540973
2020-10-13,12160.0,12275.5,11980.0,12079.5,124.401236
2020-10-14,12100.0,12243.0,11950.0,12067.0,143.86989055
2020-10-15,12083.5,12320.0,11850.0,11970.5,276.7376394
2020-10-16,11940.0,12038.5,11824.0,11995.5,143.93996151
2020-10-17,11976.5,12132.5,11900.0,12120.5,118.04003868
2020-10-18,12125.0,12220.0,12090.0,12127.5,60.43522257
2020-10-19,12139.5,12550.5,12134.0,12464.5,238.25517372
2020-10-20,12464.0,13130.5,12423.0,13020.0,435.38251287
2020-10-21,13025.0,14087.0,12960.0,13578.0,1006.44159242
2020-10-22,13580.0,13980.0,13513.5,13684.5,342.92004974
2020-10-23,13684.0,13901.5,13559.5,13753.5,245.84555632
2020-10-24,13749.5,14194.5,13556.5,13858.0,260.9978001
2020-10-25,13837.0,13950.0,13693.5,13820.0,73.70330171
2020-10-26,13807.0,14020.0,13483.5,13840.0,247.46756956
2020-10-27,13837.5,14691.5,13795.5,14480.0,589.54624843
2020-10-28,14446.0,14500.0,13500.0,13780.0,846.27937824
2020-10-29,13788.0,14380.0,13581.0,13776.5,681.29809384
2020-10-30,13787.0,14426.5,13720.0,14260.0,255.04521059
2020-10-31,14280.0,14878.0,14266.0,14445.5,200.59842232
2020-11-01,14451.5,14580.0,14305.0,14429.0,106.74481327
2020-11-02,14395.0,14395.0,13826.5,14026.0,161.65371954
2020-11-03,14068.0,14749.0,14063.5,14223.0,281.16354685
2020-11-04,14235.5,15262.0,14205.0,15246.5,241.01849774
2020-11-05,15244.5,16740.5,15143.0,16540.5,811.60815519
2020-11-06,16558.5,16558.5,15971.5,16206.5,419.73185558
2020-11-07,16214.0,16370.5,15192.0,15796.5,491.13624211
2020-11-08,15804.5,16550.0,15766.5,16155.0,184.76584345
2020-11-09,16154.5,16771.0,15569.0,16032.0,583.6552279
2020-11-10,16054.5,16198.0,15795.0,16118.0,153.87595224
2020-11-11,16097.5,16771.0,16082.0,16686.0,319.95099217
2020-11-12,16686.5,17377.0,16402.0,17071.5,437.14759141
2020-11-13,17075.5,17166.5,16704.0,16808.0,123.38632221
2020-11-14,16810.0,16839.5,16344.0,16772.5,285.64629421
2020-11-15,16775.5,17098.5,16479.0,17048.5,136.25139761
2020-11-16,17050.0,17737.0,16964.0,17618.5,318.28897963
2020-11-17,17605.5,19440.0,17487.0,18902.0,868.71951081
2020-11-18,18890.0,19109.0,18212.0,18522.0,698.62476151
2020-11-19,18544.0,19349.0,18183.0,19087.5,466.10680206
2020-11-20,19072.5,19868.5,18995.5,19498.5,389.30593271
2020-11-21,19499.0,19773.0,19037.5,19270.0,249.97504936
2020-11-22,19230.0,19520.0,18367.5,19340.0,453.81429619
2020-11-23,19318.5,19671.5,18873.0,19259.0,298.3466566
2020-11-24,19306.0,20419.5,19306.0,19920.0,747.27088454
2020-11-25,19938.0,20559.0,17671.0,18452.0,916.06993882
2020-11-26,18402.0,18402.0,16939.0,17902.5,906.72186132
2020-11-27,17859.5,18000.0,17178.0,17749.5,340.46098379
2020-11-28,17775.0,18733.0,17605.5,18681.0,330.32515846
2020-11-29,18662.5,19649.0,18662.5,19562.0,278.49005109
2020-11-30,19556.0,21100.0,19232.0,20921.0,1112.30058688
2020-12-01,20942.5,21441.5,19153.0,20111.5,1410.1442086
2020-12-02,20111.5,20511.0,19906.0,20390.0,863.68227394
2020-12-03,20380.0,20946.0,20323.0,20516.5,438.34479243
2020-12-04,20516.5,20682.5,19524.5,20046.0,491.07393606
2020-12-05,20062.0,20510.0,20060.0,20376.5,215.08985427
2020-12-06,20396.0,20502.0,19867.5,20433.5,723.78832216
2020-12-07,20434.0,20434.0,19903.0,20229.5,329.74654547
2020-12-08,20220.0,20240.0,18669.0,18779.5,961.16260723
2020-12-09,18761.5,19518.0,18452.0,19158.0,472.27320781
2020-12-10,19145.0,19296.5,18410.0,18523.5,1039.17135911
