date,open,high,low,close,volume
2025-11-07,102125.0,104170.0,99502.5,102440.0,82.15297417
2025-11-08,102425.0,102717.5,101517.5,101962.5,20.59732622
2025-11-09,101925.0,106752.5,101510.0,106580.0,72.46613784
2025-11-10,106647.5,107570.0,104762.5,104817.5,64.93906141
2025-11-11,104827.5,105560.0,102577.5,103155.0,84.18624893
2025-11-12,103165.0,105407.5,100857.5,103452.5,137.38495342
2025-11-13,103470.0,103785.0,95900.0,97027.5,276.24563366
2025-11-14,97035.0,97497.5,94000.0,96270.0,185.67465648
2025-11-15,96262.5,96400.0,94822.5,95982.5,56.85133354
2025-11-16,95992.5,96527.5,92910.0,95600.0,163.96509971
2025-11-17,95580.0,96130.0,89220.0,90415.0,422.79477958
2025-11-18,90440.0,93760.0,89980.0,91805.0,139.52500887
2025-11-19,91752.5,93095.0,88485.0,92335.0,281.51056609
2025-11-20,92247.5,92392.5,82002.5,84000.0,1763.39299859
2025-11-21,84000.0,84000.0,84000.0,84000.0,0
