date,open,high,low,close,volume
2025-01-03,96610.0,99465.0,96300.0,98727.5,61.39682739
2025-01-04,98747.5,99202.5,98097.5,98725.0,23.10406429
2025-01-05,98717.5,100357.5,97745.0,99802.5,52.91595939
2025-01-06,99805.0,103210.0,99135.0,102075.0,148.59763283
2025-01-07,102077.5,102405.0,95500.0,95867.5,179.25352395
2025-01-08,95855.0,96340.0,92722.5,93310.0,175.7179565
2025-01-09,93317.5,95137.5,91412.5,94667.5,216.68443699
2025-01-10,94682.5,95925.0,92350.0,94347.5,165.87878278
2025-01-11,94365.0,95045.0,94120.0,94375.0,24.67433423
2025-01-12,94402.5,95942.5,93365.0,93565.0,72.43929991
2025-01-13,93595.0,95650.0,89310.0,95027.5,340.76506271
2025-01-14,95032.5,97737.5,95032.5,97332.5,197.60522804
2025-01-15,97342.5,100907.5,96615.0,99860.0,213.8661156
2025-01-16,99840.0,102135.0,97390.0,101562.5,304.29066653
2025-01-17,101562.5,101562.5,101562.5,101562.5,0
