date,open,high,low,close,volume
2024-06-28,62330.0,62855.0,61110.0,62047.5,51.73055996
2024-06-29,62002.5,62655.0,61607.5,62390.0,51.04192664
2024-06-30,62490.0,64832.5,62287.5,64400.0,35.91867478
2024-07-01,64422.5,64870.0,63537.5,63542.5,17.97769787
2024-07-02,63617.5,64100.0,61400.0,61557.5,33.9902716
2024-07-03,61545.0,61640.0,58642.5,59000.0,109.68283
2024-07-04,58865.0,59320.0,54272.5,54920.0,140.24150146
2024-07-05,54972.5,57615.0,54505.0,57285.0,77.03612578
2024-07-06,57205.0,59115.0,57142.5,57827.5,30.89158373
2024-07-07,58035.0,58500.0,54862.5,56370.0,36.41654607
2024-07-08,56477.5,58840.0,55640.0,57710.0,88.3370578
2024-07-09,57802.5,60225.0,57660.0,59767.5,120.35430038
2024-07-10,59832.5,59832.5,57825.0,58882.5,88.10148622
2024-07-11,58882.5,60180.0,57215.0,57790.0,85.00863836
2024-07-12,57797.5,59252.5,57495.0,58855.0,55.97727249
2024-07-13,58930.0,61330.0,58692.5,61020.0,93.88048979
2024-07-14,61025.0,64067.5,60437.5,63877.5,172.64493105
2024-07-15,63892.5,66062.5,63242.5,63922.5,226.03158667
2024-07-16,63965.0,67292.5,63502.5,66400.0,395.38137463
2024-07-17,66412.5,66595.0,64820.0,65635.0,140.52376618
2024-07-18,65637.5,66035.0,64087.5,64685.0,153.82610171
2024-07-19,64640.0,68502.5,64310.0,67590.0,301.74031656
2024-07-20,67565.0,68590.0,67237.5,67660.0,161.93011848
2024-07-21,67782.5,69517.5,66810.0,68227.5,216.19287806
2024-07-22,68245.0,69297.5,67190.0,67490.0,190.49162466
2024-07-23,67482.5,68235.0,66260.0,66735.0,131.76862568
2024-07-24,66785.0,67827.5,64457.5,64740.0,174.31571062
2024-07-25,64627.5,68245.0,64000.0,67725.0,325.80109815
2024-07-26,67747.5,69120.0,67670.0,68845.0,100.43700307
2024-07-27,68852.5,70250.0,67357.5,68155.0,243.06841738
2024-07-28,68127.5,70770.0,67875.0,70350.0,241.9229767
2024-07-29,70380.0,70772.5,66422.5,67527.5,171.84813224
2024-07-30,67502.5,67562.5,65845.0,66797.5,103.29308195
2024-07-31,66770.0,67365.0,63975.0,64732.5,244.71073092
2024-08-01,64760.0,66027.5,62652.5,64550.0,327.41753935
2024-08-02,64500.0,65850.0,60782.5,61927.5,367.0285135
2024-08-03,61935.0,62440.0,60112.5,60610.0,173.54684066
2024-08-04,60617.5,61292.5,49100.0,52830.0,574.82108804
2024-08-05,52847.5,56415.0,49835.0,56325.0,907.07322375
2024-08-06,56127.5,57575.0,54620.0,57237.5,173.99498292
2024-08-07,57257.5,57987.5,54797.5,57477.5,251.46214446
2024-08-08,57490.0,63025.0,56947.5,61155.0,330.70224481
2024-08-09,61152.5,61797.5,59812.5,61162.5,141.71858756
2024-08-10,61167.5,61675.0,60727.5,61597.5,36.65849349
2024-08-11,61600.0,62225.0,57862.5,58855.0,87.09129648
2024-08-12,58872.5,60917.5,58025.0,59415.0,159.71375355
2024-08-13,59425.0,61805.0,58637.5,61117.5,138.2706244
2024-08-14,61097.5,61980.0,57852.5,58190.0,224.13273746
2024-08-15,58190.0,60025.0,56270.0,58622.5,432.12289429
2024-08-16,58620.0,60000.0,57735.0,59410.0,290.60449794
2024-08-17,59422.5,60420.0,59210.0,59720.0,32.59098792
2024-08-18,59640.0,60430.0,58360.0,58650.0,124.8803269
2024-08-19,58662.5,61567.5,57992.5,61085.0,277.23062067
2024-08-20,61092.5,61125.0,58685.0,59815.0,155.336619
2024-08-21,59807.5,61937.5,58957.5,61097.5,312.87916625
2024-08-22,61090.0,61532.5,60180.0,61122.5,246.8537105
2024-08-23,61122.5,65115.0,60777.5,64427.5,369.91978101
2024-08-24,64360.0,64675.0,63665.0,63922.5,133.22591228
2024-08-25,63910.0,65090.0,63645.0,63645.0,345.14582868
2024-08-26,63642.5,64090.0,62682.5,62935.0,317.95871724
2024-08-27,62962.5,63015.0,58050.0,58622.5,1234.25210921
2024-08-28,58615.0,60225.0,57870.0,59595.0,329.79851295
2024-08-29,59592.5,61132.5,58682.5,59395.0,776.30140279
2024-08-30,59395.0,59395.0,59395.0,59395.0,0
