date,open,high,low,close,volume
2021-07-23,32449.0,34018.0,32048.0,33886.0,136.9487261
2021-07-24,33849.0,34901.0,33671.0,34839.0,106.83541539
2021-07-25,34881.0,39933.0,33965.5,38170.0,170.97966867
2021-07-26,38225.0,40581.0,36464.0,37120.0,253.43897484
2021-07-27,37124.0,40392.5,37056.0,39941.0,160.95851573
2021-07-28,39904.0,40942.5,38813.0,39999.0,318.033241
2021-07-29,39982.0,40694.0,39452.0,39845.0,399.50040205
2021-07-30,39834.5,42485.0,38428.0,41658.0,533.0720757
2021-07-31,41640.5,42660.5,41107.0,41789.5,269.09981904
2021-08-01,41800.0,42033.0,39226.0,40078.5,381.6319959
2021-08-02,40114.5,40164.0,37906.0,38545.5,389.18961911
2021-08-03,38547.0,38777.0,37622.5,37761.5,395.73122884
2021-08-04,37848.0,39951.5,37486.5,38827.5,305.98726217
2021-08-05,38858.5,41352.5,37242.0,40862.5,925.16977571
2021-08-06,40862.5,40862.5,40862.5,40862.5,0
