date,open,high,low,close,volume
2021-09-03,49199.5,51232.5,49199.5,50360.0,115.44693721
2021-09-04,50302.5,50705.5,49636.0,50085.0,57.12053392
2021-09-05,50026.5,52333.5,50012.5,52064.5,114.71120535
2021-09-06,52090.5,53196.5,51313.0,52623.5,127.8793238
2021-09-07,52622.5,52622.5,42781.0,45162.5,577.06220023
2021-09-08,45290.5,46893.5,44561.5,46321.5,220.43133852
2021-09-09,46309.0,47429.5,45781.0,46215.5,254.34439098
2021-09-10,46217.5,46553.0,44116.0,45068.0,308.51681093
2021-09-11,45037.0,46047.0,44812.0,45391.0,130.46419849
2021-09-12,45410.5,46519.0,44229.0,44528.0,275.72583602
2021-09-13,44495.0,46954.0,43479.0,45829.5,302.49196068
2021-09-14,45827.5,47500.0,45772.0,47259.0,238.80826824
2021-09-15,47213.0,48567.0,47069.5,48410.0,242.89995004
2021-09-16,48398.5,48398.5,47086.5,47872.0,246.24660196
2021-09-17,47872.0,47872.0,47872.0,47872.0,0
