date,open,high,low,close,volume
2023-08-04,29300.0,29395.0,28860.0,29110.0,102.13708806
2023-08-05,29082.5,29152.5,29040.0,29135.0,56.62078276
2023-08-06,29140.0,29265.0,29045.0,29130.0,75.65745357
2023-08-07,29120.0,29367.5,28745.0,29227.5,104.11619239
2023-08-08,29235.0,30285.0,29212.5,29880.0,220.65326243
2023-08-09,29907.5,30202.5,29420.0,29542.5,87.18624259
2023-08-10,29555.0,29772.5,29367.5,29437.5,164.15282825
2023-08-11,29432.5,29577.5,29272.5,29437.5,101.00208235
2023-08-12,29432.5,29507.5,29385.0,29417.5,94.41072156
2023-08-13,29422.5,29482.5,29117.5,29420.0,101.43390308
2023-08-14,29425.0,29705.0,29280.0,29420.0,110.79692542
2023-08-15,29412.5,29497.5,29092.5,29202.5,208.07462763
2023-08-16,29187.5,29225.0,28320.0,28592.5,351.84134714
2023-08-17,28597.5,28600.0,24227.5,26447.5,1670.92974802
2023-08-18,26447.5,26447.5,26447.5,26447.5,0
