date,open,high,low,close,volume
2021-09-24,45078.0,45080.5,40899.5,42449.5,63.20189151
2021-09-25,42445.0,42956.5,40772.5,41278.0,63.5144079
2021-09-26,41290.0,44366.5,41050.5,43771.5,36.72460355
2021-09-27,43880.0,44090.0,41652.5,41768.0,66.65803521
2021-09-28,41766.5,42579.0,40689.0,42396.0,107.45110794
2021-09-29,42426.0,43816.5,40862.5,43316.5,68.10058809
2021-09-30,43307.5,44892.5,42716.0,44892.5,136.8658139
2021-10-01,44933.0,48556.0,44786.0,47844.0,173.57793014
2021-10-02,47806.5,48369.5,47179.5,47927.0,39.09759838
2021-10-03,48002.0,49310.5,47348.5,47877.0,86.09900654
2021-10-04,47913.0,49856.5,46956.0,49563.0,113.36949318
2021-10-05,49489.5,51868.0,49450.0,51397.5,191.61410223
2021-10-06,51474.5,55805.5,50430.5,54726.0,328.66465586
2021-10-07,54778.0,54887.0,53386.5,54598.0,455.84405366
2021-10-08,54598.0,54598.0,54598.0,54598.0,0
