"Date","Open","High","Low","Close","Volume","OpenInt"
01/02/1998,59750.0,59750.0,59750.0,59750.0,0,905
01/05/1998,59380.0,59380.0,59380.0,59380.0,1,905
01/06/1998,60300.0,60300.0,60300.0,60300.0,1,905
01/07/1998,59590.0,59590.0,59590.0,59590.0,1,905
01/08/1998,57240.0,57240.0,57240.0,57240.0,1,905
01/09/1998,55890.0,55890.0,55890.0,55890.0,1,905
01/12/1998,54310.0,54310.0,54310.0,54310.0,1,905
01/13/1998,56460.0,56460.0,56460.0,56460.0,1,905
01/14/1998,56490.0,56490.0,56490.0,56490.0,1,905
01/15/1998,57490.0,57490.0,57490.0,57490.0,1,905
01/16/1998,57140.0,57140.0,57140.0,57140.0,1,905
01/20/1998,56120.0,56120.0,56120.0,56120.0,1,905
01/21/1998,57600.0,57600.0,57600.0,57600.0,1,905
01/22/1998,56710.0,56710.0,56710.0,56710.0,1,905
01/23/1998,58420.0,58420.0,58420.0,58420.0,1,905
01/26/1998,58730.0,58730.0,58730.0,58730.0,1,905
01/27/1998,60380.0,60380.0,60380.0,60380.0,1,905
01/28/1998,58750.0,59930.0,58750.0,59930.0,1,905
01/29/1998,59460.0,59460.0,59460.0,59460.0,1,905
01/30/1998,59700.0,59700.0,59700.0,59700.0,1,906
02/02/1998,60540.0,60540.0,60540.0,60540.0,1,906
02/03/1998,62870.0,62870.0,62870.0,62870.0,1,906
02/04/1998,66320.0,66320.0,66320.0,66320.0,1,906
02/05/1998,67660.0,67660.0,67660.0,67660.0,1,906
02/06/1998,65810.0,65810.0,65810.0,65810.0,1,906
02/09/1998,65260.0,65260.0,65260.0,65260.0,1,906
02/10/1998,67410.0,67410.0,67410.0,67410.0,1,906
02/11/1998,66740.0,66740.0,66740.0,66740.0,1,906
02/12/1998,67060.0,67060.0,67060.0,67060.0,1,906
02/13/1998,67960.0,67960.0,67960.0,67960.0,1,906
02/17/1998,64780.0,64780.0,64780.0,64780.0,1,906
02/18/1998,62840.0,62840.0,62840.0,62840.0,1,906
02/19/1998,66080.0,66080.0,66080.0,66080.0,1,906
02/20/1998,63940.0,63940.0,63940.0,63940.0,1,906
02/23/1998,64720.0,64720.0,64720.0,64720.0,1,906
02/24/1998,63750.0,63750.0,63750.0,63750.0,1,906
02/25/1998,60870.0,60870.0,60870.0,60870.0,1,906
02/26/1998,62380.0,62380.0,62380.0,62380.0,1,906
02/27/1998,64710.0,64710.0,64710.0,64710.0,1,906
03/02/1998,65490.0,65490.0,65490.0,65490.0,1,906
03/03/1998,63510.0,63510.0,63510.0,63510.0,1,906
03/04/1998,63160.0,63160.0,63160.0,63160.0,1,906
03/05/1998,63310.0,63310.0,63310.0,63310.0,1,906
03/06/1998,60530.0,60530.0,60530.0,60530.0,1,906
03/09/1998,61000.0,61000.0,61000.0,61000.0,1,906
03/10/1998,62900.0,62900.0,62900.0,62900.0,1,906
03/11/1998,61200.0,61200.0,61200.0,61200.0,1,906
03/12/1998,61800.0,61800.0,61800.0,61800.0,1,906
03/13/1998,61300.0,61300.0,61300.0,61300.0,1,906
03/16/1998,60990.0,60990.0,60990.0,60990.0,1,906
03/17/1998,58290.0,58290.0,58290.0,58290.0,1,906
03/18/1998,59130.0,59130.0,59130.0,59130.0,1,906
03/19/1998,58710.0,58710.0,58710.0,58710.0,1,906
03/20/1998,60560.0,60560.0,60560.0,60560.0,1,906
03/23/1998,62610.0,62610.0,62610.0,62610.0,1,906
03/24/1998,61490.0,61490.0,61490.0,61490.0,1,906
03/25/1998,60240.0,60240.0,60240.0,60240.0,1,906
03/26/1998,61940.0,61940.0,61940.0,61940.0,5,911
03/27/1998,61510.0,61510.0,61510.0,61510.0,1,911
03/30/1998,61380.0,61380.0,61380.0,61380.0,1,911
03/31/1998,63190.0,63190.0,63190.0,63190.0,1,911
04/01/1998,61900.0,61900.0,61900.0,61900.0,1,911
04/02/1998,63930.0,63930.0,63930.0,63930.0,1,911
04/03/1998,64160.0,64160.0,64160.0,64160.0,1,911
04/06/1998,62180.0,62180.0,62180.0,62180.0,1,911
04/07/1998,61880.0,61880.0,61880.0,61880.0,1,911
04/08/1998,61940.0,61940.0,61940.0,61940.0,1,911
04/09/1998,62010.0,62010.0,62010.0,62010.0,1,911
04/13/1998,61630.0,61630.0,61630.0,61630.0,1,911
04/14/1998,60810.0,60810.0,60810.0,60810.0,1,911
04/15/1998,61220.0,61220.0,61220.0,61220.0,1,911
04/16/1998,61170.0,61170.0,61170.0,61170.0,1,911
